Peak	Chromosome	PNRC100	PNRC200	Pique	CSDeconv	Exp. TSS	Motif absent	100>Envelope>1000	ER>1	
Chromosome:743251	1	0	0	1	1	0	0	1	1	
Chromosome:744497	1	0	0	1	1	1	0	1	1	
Chromosome:762560	1	0	0	1	1	1	1	1	1	
Chromosome:787746	1	0	0	1	1	1	0	1	1	
Chromosome:796358	1	0	0	1	1	1	0	1	1	
Chromosome:798064	1	0	0	1	1	1	0	1	1	
Chromosome:834305	1	0	0	1	1	1	0	1	1	
Chromosome:838641	1	0	0	1	1	0	0	1	1	
Chromosome:848152	1	0	0	1	1	1	0	1	1	
Chromosome:855557	1	0	0	1	1	1	0	1	1	
Chromosome:860103	1	0	0	1	1	1	0	1	1	
Chromosome:862548	1	0	0	1	1	1	1	1	1	
Chromosome:918753	1	0	0	1	1	1	0	1	1	
Chromosome:958696	1	0	0	1	1	1	1	1	1	
Chromosome:967898	1	0	0	1	1	1	1	1	1	
Chromosome:972502	1	0	0	1	1	1	0	1	1	
Chromosome:1002799	1	0	0	1	1	0	1	1	1	
Chromosome:1026752	1	0	0	1	1	1	0	1	1	
Chromosome:1036349	1	0	0	1	1	1	1	1	1	
Chromosome:1052065	1	0	0	1	1	0	1	0	1	
Chromosome:1068109	1	0	0	1	1	1	0	1	1	
Chromosome:1104264	1	0	0	1	1	1	1	1	1	
Chromosome:1132811	1	0	0	1	1	1	0	1	1	
Chromosome:1134505	1	0	0	1	1	1	1	1	1	
Chromosome:1154102	1	0	0	1	1	1	1	1	1	
Chromosome:1186103	1	0	0	1	1	0	1	1	1	
Chromosome:1200615	1	0	0	1	1	0	1	1	1	
Chromosome:1209337	1	0	0	1	1	1	0	1	1	
Chromosome:1236803	1	0	0	1	1	1	0	1	1	
Chromosome:1239501	1	0	0	1	1	1	1	1	1	
Chromosome:1247440	1	0	0	1	1	0	0	1	1	
Chromosome:1248601	1	0	0	1	1	1	0	1	1	
Chromosome:1281640	1	0	0	1	1	0	1	1	1	
Chromosome:1283756	1	0	0	1	1	0	1	1	1	
Chromosome:1286552	1	0	0	1	1	0	1	1	1	
Chromosome:1289211	1	0	0	1	1	1	0	1	1	
Chromosome:1304015	1	0	0	1	1	0	1	1	1	
Chromosome:1312261	1	0	0	1	1	0	0	1	1	
Chromosome:1321243	1	0	0	1	1	1	0	1	1	
Chromosome:1336807	1	0	0	1	1	1	0	1	1	
Chromosome:1358663	1	0	0	1	1	1	0	1	1	
Chromosome:1412704	1	0	0	1	1	1	0	1	1	
Chromosome:1415112	1	0	0	1	1	1	1	1	1	
Chromosome:1420900	1	0	0	1	1	1	0	1	1	
Chromosome:1424395	1	0	0	1	1	1	0	1	1	
Chromosome:1433902	1	0	0	1	1	0	0	1	1	
Chromosome:1474812	1	0	0	1	1	1	1	1	1	
Chromosome:1477104	1	0	0	1	1	0	1	1	1	
Chromosome:1508035	1	0	0	1	1	0	1	1	1	
Chromosome:1511899	1	0	0	1	1	1	1	1	1	
Chromosome:1515115	1	0	0	1	1	1	1	1	1	
Chromosome:1528759	1	0	0	1	1	1	1	1	1	
Chromosome:1542093	1	0	0	1	1	1	1	1	1	
Chromosome:1549996	1	0	0	1	1	1	0	1	1	
Chromosome:1567114	1	0	0	1	1	1	0	1	1	
Chromosome:1570204	1	0	0	1	1	1	1	1	1	
Chromosome:1596612	1	0	0	1	1	1	0	1	1	
Chromosome:1607306	1	0	0	1	1	1	0	1	1	
Chromosome:1620745	1	0	0	1	1	1	1	1	1	
Chromosome:1633492	1	0	0	1	1	0	1	1	1	
Chromosome:1657765	1	0	0	1	1	1	0	1	1	
Chromosome:1679291	1	0	0	1	1	1	0	1	1	
Chromosome:1718848	1	0	0	1	1	1	1	1	1	
Chromosome:1722299	1	0	0	1	1	1	1	1	1	
Chromosome:1744763	1	0	0	1	1	0	1	1	1	
Chromosome:1745807	1	0	0	1	1	0	0	1	1	
Chromosome:1834400	1	0	0	1	1	1	1	1	1	
Chromosome:1846752	1	0	0	1	1	1	0	1	1	
Chromosome:1849307	1	0	0	1	1	1	0	1	1	
Chromosome:1861704	1	0	0	1	1	0	1	1	1	
Chromosome:1867538	1	0	0	1	1	1	0	1	1	
Chromosome:1889694	1	0	0	1	1	1	0	1	1	
Chromosome:1927499	1	0	0	1	1	0	1	1	1	
Chromosome:1935994	1	0	0	1	1	1	0	1	1	
Chromosome:1940102	1	0	0	1	1	1	1	1	1	
Chromosome:1941489	1	0	0	1	1	0	0	1	1	
Chromosome:1946247	1	0	0	1	1	1	0	1	1	
Chromosome:1950650	1	0	0	1	1	1	1	1	1	
Chromosome:1972164	1	0	0	1	1	0	1	1	1	
Chromosome:1985954	1	0	0	1	1	0	1	1	1	
Chromosome:2002401	1	0	0	1	1	1	0	1	1	
Chromosome:12878	1	0	0	1	0	0	1	1	0	
Chromosome:24052	1	0	0	1	0	0	1	1	1	
Chromosome:32389	1	0	0	1	0	0	1	1	0	
Chromosome:34004	1	0	0	1	0	0	1	1	1	
Chromosome:34460	1	0	0	1	0	0	1	1	0	
Chromosome:35892	1	0	0	1	0	1	1	1	1	
Chromosome:38715	1	0	0	1	0	0	1	1	1	
Chromosome:41324	1	0	0	1	0	0	1	1	1	
Chromosome:43038	1	0	0	1	0	0	1	1	1	
Chromosome:43696	1	0	0	1	0	0	1	1	1	
Chromosome:45365	1	0	0	1	0	0	1	1	1	
Chromosome:54366	1	0	0	1	0	0	1	1	1	
Chromosome:55311	1	0	0	1	0	0	1	1	1	
Chromosome:58008	1	0	0	1	0	0	1	1	1	
Chromosome:65898	1	0	0	1	0	1	1	1	1	
Chromosome:82560	1	0	0	1	0	1	1	1	1	
Chromosome:94688	1	0	0	1	0	0	1	1	1	
Chromosome:95346	1	0	0	1	0	1	1	1	1	
Chromosome:99162	1	0	0	1	0	0	1	1	1	
Chromosome:116326	1	0	0	1	0	0	1	1	1	
Chromosome:119119	1	0	0	1	0	0	1	1	1	
Chromosome:119928	1	0	0	1	0	0	1	1	1	
Chromosome:135344	1	0	0	1	0	1	1	1	1	
Chromosome:142337	1	0	0	1	0	1	1	1	1	
Chromosome:145038	1	0	0	1	0	0	1	1	1	
Chromosome:165613	1	0	0	1	0	0	1	1	1	
Chromosome:166581	1	0	0	1	0	1	1	1	1	
Chromosome:167267	1	0	0	1	0	1	1	1	1	
Chromosome:175076	1	0	0	1	0	0	1	1	1	
Chromosome:175846	1	0	0	1	0	0	1	1	0	
Chromosome:180134	1	0	0	1	0	0	1	1	0	
Chromosome:180651	1	0	0	1	0	0	1	1	1	
Chromosome:182612	1	0	0	1	0	0	0	1	1	
Chromosome:183523	1	0	0	1	0	0	1	1	1	
Chromosome:184174	1	0	0	1	0	0	1	1	1	
Chromosome:190557	1	0	0	1	0	0	1	1	1	
Chromosome:191203	1	0	0	1	0	0	1	1	1	
Chromosome:197517	1	0	0	1	0	1	0	1	1	
Chromosome:210958	1	0	0	1	0	0	1	1	1	
Chromosome:211728	1	0	0	1	0	1	1	1	1	
Chromosome:220992	1	0	0	1	0	0	1	1	1	
Chromosome:221640	1	0	0	1	0	0	1	1	1	
Chromosome:244567	1	0	0	1	0	1	1	1	1	
Chromosome:251894	1	0	0	1	0	1	1	1	1	
Chromosome:253646	1	0	0	1	0	1	0	1	1	
Chromosome:267366	1	0	0	1	0	1	1	1	1	
Chromosome:272849	1	0	0	1	0	1	1	1	1	
Chromosome:304069	1	0	0	1	0	0	1	1	1	
Chromosome:309373	1	0	0	1	0	1	0	1	1	
Chromosome:329948	1	0	0	1	0	1	1	1	1	
Chromosome:382393	1	0	0	1	0	1	1	1	1	
Chromosome:393714	1	0	0	1	0	1	1	1	1	
Chromosome:399799	1	0	0	1	0	1	1	1	1	
Chromosome:400531	1	0	0	1	0	0	1	1	1	
Chromosome:401026	1	0	0	1	0	1	1	1	1	
Chromosome:424105	1	0	0	1	0	1	1	1	1	
Chromosome:425670	1	0	0	1	0	0	0	1	1	
Chromosome:430225	1	0	0	1	0	1	1	1	1	
Chromosome:430954	1	0	0	1	0	1	0	1	1	
Chromosome:431601	1	0	0	1	0	1	1	1	1	
Chromosome:445527	1	0	0	1	0	0	0	1	1	
Chromosome:445721	1	0	0	1	0	0	1	1	1	
Chromosome:455186	1	0	0	1	0	0	0	1	1	
Chromosome:462868	1	0	0	1	0	1	1	1	1	
Chromosome:465253	1	0	0	1	0	0	1	1	0	
Chromosome:485224	1	0	0	1	0	0	1	1	1	
Chromosome:497089	1	0	0	1	0	1	1	1	1	
Chromosome:501078	1	0	0	1	0	0	1	1	1	
Chromosome:503138	1	0	0	1	0	0	1	1	1	
Chromosome:506482	1	0	0	1	0	1	1	1	1	
Chromosome:528605	1	0	0	1	0	0	1	1	1	
Chromosome:554412	1	0	0	1	0	1	1	1	1	
Chromosome:557744	1	0	0	1	0	1	0	1	1	
Chromosome:559753	1	0	0	1	0	1	1	1	1	
Chromosome:568241	1	0	0	1	0	0	1	1	1	
Chromosome:575197	1	0	0	1	0	0	1	1	1	
Chromosome:579524	1	0	0	1	0	1	0	1	1	
Chromosome:583010	1	0	0	1	0	1	1	1	1	
Chromosome:585221	1	0	0	1	0	1	0	1	1	
Chromosome:593985	1	0	0	1	0	1	0	1	1	
Chromosome:598044	1	0	0	1	0	0	1	1	1	
Chromosome:603333	1	0	0	1	0	1	1	1	1	
Chromosome:608331	1	0	0	1	0	1	0	1	1	
Chromosome:635104	1	0	0	1	0	0	1	1	1	
Chromosome:640549	1	0	0	1	0	0	1	1	1	
Chromosome:646533	1	0	0	1	0	1	0	1	1	
Chromosome:650153	1	0	0	1	0	1	1	1	1	
Chromosome:672084	1	0	0	1	0	1	1	1	1	
Chromosome:676748	1	0	0	1	0	0	0	1	1	
Chromosome:687456	1	0	0	1	0	0	1	1	1	
Chromosome:702096	1	0	0	1	0	0	1	1	1	
Chromosome:710361	1	0	0	1	0	0	1	1	1	
Chromosome:731518	1	0	0	1	0	0	1	1	1	
Chromosome:731741	1	0	0	1	0	1	0	1	1	
Chromosome:736791	1	0	0	1	0	0	1	1	1	
Chromosome:748600	1	0	0	1	0	1	1	1	1	
Chromosome:749268	1	0	0	1	0	0	0	0	1	
Chromosome:751179	1	0	0	1	0	0	1	1	0	
Chromosome:753719	1	0	0	1	0	0	1	1	1	
Chromosome:757142	1	0	0	1	0	1	1	1	1	
Chromosome:758104	1	0	0	1	0	1	1	1	1	
Chromosome:766010	1	0	0	1	0	1	1	1	1	
Chromosome:768784	1	0	0	1	0	1	1	1	1	
Chromosome:770484	1	0	0	1	0	1	1	1	1	
Chromosome:773258	1	0	0	1	0	0	1	1	1	
Chromosome:775646	1	0	0	1	0	0	0	1	1	
Chromosome:805161	1	0	0	1	0	1	1	1	1	
Chromosome:807782	1	0	0	1	0	0	1	1	1	
Chromosome:830575	1	0	0	1	0	0	1	1	1	
Chromosome:831667	1	0	0	1	0	0	0	1	1	
Chromosome:835937	1	0	0	1	0	0	1	1	1	
Chromosome:840674	1	0	0	1	0	0	1	1	1	
Chromosome:852995	1	0	0	1	0	0	0	1	1	
Chromosome:853906	1	0	0	1	0	1	0	1	1	
Chromosome:858610	1	0	0	1	0	1	0	1	1	
Chromosome:881523	1	0	0	1	0	0	1	1	1	
Chromosome:882106	1	0	0	1	0	1	0	1	1	
Chromosome:882806	1	0	0	1	0	1	0	1	1	
Chromosome:886804	1	0	0	1	0	0	1	1	1	
Chromosome:913360	1	0	0	1	0	0	1	1	1	
Chromosome:915778	1	0	0	1	0	0	1	1	1	
Chromosome:920739	1	0	0	1	0	0	0	1	1	
Chromosome:925342	1	0	0	1	0	0	1	1	1	
Chromosome:943692	1	0	0	1	0	0	1	1	1	
Chromosome:949879	1	0	0	1	0	1	0	1	1	
Chromosome:950535	1	0	0	1	0	0	1	1	1	
Chromosome:951300	1	0	0	1	0	0	1	1	1	
Chromosome:955158	1	0	0	1	0	0	1	1	1	
Chromosome:955380	1	0	0	1	0	1	1	1	1	
Chromosome:978602	1	0	0	1	0	1	1	1	1	
Chromosome:980004	1	0	0	1	0	0	1	1	1	
Chromosome:983102	1	0	0	1	0	0	1	1	1	
Chromosome:983905	1	0	0	1	0	0	0	1	1	
Chromosome:990835	1	0	0	1	0	1	1	1	1	
Chromosome:1003995	1	0	0	1	0	1	1	1	1	
Chromosome:1028570	1	0	0	1	0	1	1	1	1	
Chromosome:1039052	1	0	0	1	0	0	1	1	1	
Chromosome:1043056	1	0	0	1	0	1	1	1	1	
Chromosome:1043624	1	0	0	1	0	0	0	1	1	
Chromosome:1053915	1	0	0	1	0	1	1	1	1	
Chromosome:1060242	1	0	0	1	0	0	0	1	1	
Chromosome:1060770	1	0	0	1	0	1	1	1	1	
Chromosome:1065627	1	0	0	1	0	0	0	1	1	
Chromosome:1070406	1	0	0	1	0	0	1	1	1	
Chromosome:1080543	1	0	0	1	0	1	1	1	1	
Chromosome:1082083	1	0	0	1	0	0	1	1	1	
Chromosome:1084963	1	0	0	1	0	1	1	1	1	
Chromosome:1089134	1	0	0	1	0	1	1	1	1	
Chromosome:1095130	1	0	0	1	0	1	1	1	1	
Chromosome:1096192	1	0	0	1	0	0	1	1	1	
Chromosome:1105828	1	0	0	1	0	0	1	1	1	
Chromosome:1107778	1	0	0	1	0	1	0	1	1	
Chromosome:1113563	1	0	0	1	0	1	0	1	1	
Chromosome:1155909	1	0	0	1	0	0	1	1	1	
Chromosome:1173928	1	0	0	1	0	0	1	1	1	
Chromosome:1197617	1	0	0	1	0	0	1	1	1	
Chromosome:1207050	1	0	0	1	0	1	1	1	1	
Chromosome:1212387	1	0	0	1	0	1	1	1	1	
Chromosome:1217502	1	0	0	1	0	0	1	1	1	
Chromosome:1218705	1	0	0	1	0	1	0	1	1	
Chromosome:1228844	1	0	0	1	0	1	1	0	1	
Chromosome:1233813	1	0	0	1	0	0	1	1	1	
Chromosome:1242589	1	0	0	1	0	1	1	1	1	
Chromosome:1251196	1	0	0	1	0	1	0	1	1	
Chromosome:1258138	1	0	0	1	0	1	1	1	1	
Chromosome:1287989	1	0	0	1	0	0	1	1	1	
Chromosome:1296503	1	0	0	1	0	1	1	1	1	
Chromosome:1296990	1	0	0	1	0	0	1	1	1	
Chromosome:1302435	1	0	0	1	0	0	1	1	1	
Chromosome:1303218	1	0	0	1	0	0	1	1	1	
Chromosome:1309128	1	0	0	1	0	0	1	1	1	
Chromosome:1316438	1	0	0	1	0	1	1	1	1	
Chromosome:1333722	1	0	0	1	0	1	0	1	1	
Chromosome:1335207	1	0	0	1	0	1	1	1	1	
Chromosome:1356234	1	0	0	1	0	1	1	1	1	
Chromosome:1360286	1	0	0	1	0	1	1	1	1	
Chromosome:1367726	1	0	0	1	0	0	1	1	1	
Chromosome:1377999	1	0	0	1	0	1	0	1	1	
Chromosome:1402739	1	0	0	1	0	1	1	1	1	
Chromosome:1410305	1	0	0	1	0	1	0	1	1	
Chromosome:1461156	1	0	0	1	0	0	1	1	1	
Chromosome:1466984	1	0	0	1	0	1	0	1	1	
Chromosome:1478885	1	0	0	1	0	0	1	1	1	
Chromosome:1485361	1	0	0	1	0	1	1	1	1	
Chromosome:1493453	1	0	0	1	0	0	1	1	1	
Chromosome:1496373	1	0	0	1	0	0	1	1	1	
Chromosome:1499355	1	0	0	1	0	1	1	1	1	
Chromosome:1500934	1	0	0	1	0	0	0	1	1	
Chromosome:1501638	1	0	0	1	0	1	1	1	1	
Chromosome:1544089	1	0	0	1	0	0	0	1	1	
Chromosome:1546007	1	0	0	1	0	1	0	1	1	
Chromosome:1551432	1	0	0	1	0	1	0	1	1	
Chromosome:1558413	1	0	0	1	0	0	1	1	1	
Chromosome:1580369	1	0	0	1	0	1	1	1	1	
Chromosome:1584107	1	0	0	1	0	0	1	1	1	
Chromosome:1588748	1	0	0	1	0	1	0	1	1	
Chromosome:1594133	1	0	0	1	0	0	0	1	1	
Chromosome:1609796	1	0	0	1	0	0	1	1	1	
Chromosome:1610597	1	0	0	1	0	0	1	1	1	
Chromosome:1613796	1	0	0	1	0	1	1	1	1	
Chromosome:1628136	1	0	0	1	0	1	1	1	1	
Chromosome:1666840	1	0	0	1	0	0	0	1	1	
Chromosome:1680668	1	0	0	1	0	0	1	1	1	
Chromosome:1693583	1	0	0	1	0	0	1	1	1	
Chromosome:1710966	1	0	0	1	0	0	0	1	1	
Chromosome:1757432	1	0	0	1	0	1	1	1	1	
Chromosome:1776967	1	0	0	1	0	1	0	1	1	
Chromosome:1806763	1	0	0	1	0	0	1	0	1	
Chromosome:1811233	1	0	0	1	0	0	0	1	1	
Chromosome:1815144	1	0	0	1	0	0	1	1	1	
Chromosome:1826644	1	0	0	1	0	1	1	1	1	
Chromosome:1830482	1	0	0	1	0	0	1	1	1	
Chromosome:1835845	1	0	0	1	0	1	0	1	1	
Chromosome:1863605	1	0	0	1	0	0	1	1	1	
Chromosome:1864946	1	0	0	1	0	0	1	1	1	
Chromosome:1874222	1	0	0	1	0	1	1	1	1	
Chromosome:1876293	1	0	0	1	0	0	1	1	1	
Chromosome:1877262	1	0	0	1	0	0	1	1	1	
Chromosome:1879087	1	0	0	1	0	0	1	1	1	
Chromosome:1880749	1	0	0	1	0	1	0	1	1	
Chromosome:1882185	1	0	0	1	0	1	1	1	1	
Chromosome:1906884	1	0	0	1	0	1	1	1	1	
Chromosome:1907188	1	0	0	1	0	1	1	1	1	
Chromosome:1916716	1	0	0	1	0	1	1	1	1	
Chromosome:1917383	1	0	0	1	0	1	0	1	1	
Chromosome:1926715	1	0	0	1	0	0	1	1	1	
Chromosome:1930390	1	0	0	1	0	1	1	1	1	
Chromosome:1943650	1	0	0	1	0	1	0	1	1	
Chromosome:1957143	1	0	0	1	0	1	1	1	1	
Chromosome:1960354	1	0	0	1	0	1	1	1	1	
Chromosome:1979153	1	0	0	1	0	1	0	1	1	
Chromosome:1982850	1	0	0	1	0	1	1	1	1	
Chromosome:1991964	1	0	0	1	0	0	1	1	1	
Chromosome:1993958	1	0	0	1	0	1	0	1	1	
Chromosome:2006855	1	0	0	1	0	1	1	1	1	
Chromosome:2007670	1	0	0	1	0	0	1	1	1	
Chromosome:2011476	1	0	0	1	0	0	0	1	1	
Chromosome:2013865	1	0	0	1	0	0	1	1	1	
Chromosome:15300	1	0	0	0	1	1	0	1	0	
Chromosome:45450	1	0	0	0	1	1	1	1	1	
Chromosome:57950	1	0	0	0	1	0	1	1	1	
Chromosome:65950	1	0	0	0	1	1	1	1	1	
Chromosome:82500	1	0	0	0	1	1	1	1	0	
Chromosome:86650	1	0	0	0	1	1	1	1	0	
Chromosome:95400	1	0	0	0	1	0	1	1	1	
Chromosome:135300	1	0	0	0	1	1	1	1	0	
Chromosome:145100	1	0	0	0	1	0	1	1	0	
Chromosome:166450	1	0	0	0	1	0	1	0	0	
Chromosome:175000	1	0	0	0	1	1	1	1	0	
Chromosome:177550	1	0	0	0	1	0	1	1	1	
Chromosome:179350	1	0	0	0	1	0	0	1	0	
Chromosome:190900	1	0	0	0	1	0	1	0	0	
Chromosome:197450	1	0	0	0	1	0	0	1	0	
Chromosome:211350	1	0	0	0	1	0	1	0	0	
Chromosome:221300	1	0	0	0	1	0	0	0	0	
Chromosome:232950	1	0	0	0	1	1	0	1	1	
Chromosome:233900	1	0	0	0	1	0	1	1	0	
Chromosome:244600	1	0	0	0	1	1	1	1	0	
Chromosome:251850	1	0	0	0	1	1	1	1	0	
Chromosome:253750	1	0	0	0	1	0	0	1	0	
Chromosome:267300	1	0	0	0	1	1	1	1	0	
Chromosome:272800	1	0	0	0	1	1	1	1	0	
Chromosome:304100	1	0	0	0	1	0	1	1	0	
Chromosome:309500	1	0	0	0	1	0	0	0	0	
Chromosome:325000	1	0	0	0	1	0	1	1	0	
Chromosome:330000	1	0	0	0	1	1	1	1	0	
Chromosome:382450	1	0	0	0	1	0	1	1	0	
Chromosome:393750	1	0	0	0	1	1	1	1	0	
Chromosome:400400	1	0	0	0	1	0	1	0	0	
Chromosome:421850	1	0	0	0	1	0	1	1	0	
Chromosome:424150	1	0	0	0	1	1	1	1	0	
Chromosome:425600	1	0	0	0	1	0	0	1	0	
Chromosome:430900	1	0	0	0	1	1	0	0	0	
Chromosome:442050	1	0	0	0	1	1	1	1	0	
Chromosome:445600	1	0	0	0	1	0	0	1	0	
Chromosome:455250	1	0	0	0	1	0	0	1	0	
Chromosome:458750	1	0	0	0	1	1	1	1	0	
Chromosome:462900	1	0	0	0	1	1	1	1	0	
Chromosome:485150	1	0	0	0	1	1	1	1	0	
Chromosome:497050	1	0	0	0	1	1	1	1	0	
Chromosome:500900	1	0	0	0	1	0	1	1	0	
Chromosome:503050	1	0	0	0	1	1	1	1	1	
Chromosome:506550	1	0	0	0	1	0	1	1	0	
Chromosome:528550	1	0	0	0	1	1	1	1	0	
Chromosome:554500	1	0	0	0	1	0	1	0	0	
Chromosome:557700	1	0	0	0	1	1	0	1	0	
Chromosome:559700	1	0	0	0	1	1	1	1	0	
Chromosome:568100	1	0	0	0	1	0	1	1	0	
Chromosome:575150	1	0	0	0	1	0	1	1	0	
Chromosome:579950	1	0	0	0	1	0	0	0	0	
Chromosome:582950	1	0	0	0	1	0	1	1	0	
Chromosome:593950	1	0	0	0	1	1	0	1	0	
Chromosome:603400	1	0	0	0	1	0	0	1	0	
Chromosome:608300	1	0	0	0	1	1	0	1	0	
Chromosome:625750	1	0	0	0	1	0	1	1	0	
Chromosome:635050	1	0	0	0	1	0	1	1	1	
Chromosome:640500	1	0	0	0	1	0	1	1	0	
Chromosome:646500	1	0	0	0	1	1	0	1	0	
Chromosome:650100	1	0	0	0	1	0	1	1	0	
Chromosome:656100	1	0	0	0	1	0	1	1	0	
Chromosome:672050	1	0	0	0	1	1	1	1	0	
Chromosome:676650	1	0	0	0	1	1	0	1	0	
Chromosome:680350	1	0	0	0	1	0	1	1	0	
Chromosome:687500	1	0	0	0	1	0	1	0	0	
Chromosome:702050	1	0	0	0	1	0	1	1	0	
Chromosome:710300	1	0	0	0	1	0	1	1	0	
Chromosome:731600	1	0	0	0	1	0	0	0	0	
Chromosome:736750	1	0	0	0	1	1	1	1	0	
Chromosome:749350	1	0	0	0	1	0	0	0	0	
Chromosome:758050	1	0	0	0	1	1	1	1	1	
Chromosome:766050	1	0	0	0	1	1	1	1	0	
Chromosome:768650	1	0	0	0	1	0	1	0	0	
Chromosome:771300	1	0	0	0	1	0	1	0	0	
Chromosome:773300	1	0	0	0	1	1	1	1	1	
Chromosome:775550	1	0	0	0	1	1	0	1	1	
Chromosome:831100	1	0	0	0	1	0	0	0	0	
Chromosome:835850	1	0	0	0	1	1	1	1	0	
Chromosome:840750	1	0	0	0	1	1	1	1	0	
Chromosome:852950	1	0	0	0	1	1	0	1	0	
Chromosome:853850	1	0	0	0	1	1	0	1	0	
Chromosome:858550	1	0	0	0	1	1	0	1	0	
Chromosome:881850	1	0	0	0	1	0	0	0	0	
Chromosome:886850	1	0	0	0	1	0	1	1	0	
Chromosome:903050	1	0	0	0	1	0	1	1	0	
Chromosome:906450	1	0	0	0	1	1	1	1	0	
Chromosome:913300	1	0	0	0	1	0	1	1	0	
Chromosome:925300	1	0	0	0	1	0	1	1	0	
Chromosome:929600	1	0	0	0	1	1	0	1	0	
Chromosome:937250	1	0	0	0	1	1	1	1	1	
Chromosome:943650	1	0	0	0	1	0	1	1	0	
Chromosome:950200	1	0	0	0	1	0	0	0	0	
Chromosome:951350	1	0	0	0	1	1	1	1	0	
Chromosome:952350	1	0	0	0	1	1	1	1	0	
Chromosome:955450	1	0	0	0	1	1	1	1	0	
Chromosome:978550	1	0	0	0	1	1	1	1	0	
Chromosome:983850	1	0	0	0	1	0	0	1	0	
Chromosome:986350	1	0	0	0	1	1	1	1	0	
Chromosome:990800	1	0	0	0	1	0	1	1	0	
Chromosome:1004050	1	0	0	0	1	1	1	1	0	
Chromosome:1017950	1	0	0	0	1	0	0	1	0	
Chromosome:1021550	1	0	0	0	1	0	1	1	0	
Chromosome:1028500	1	0	0	0	1	1	1	1	0	
Chromosome:1038950	1	0	0	0	1	0	1	1	1	
Chromosome:1041450	1	0	0	0	1	0	0	1	1	
Chromosome:1043300	1	0	0	0	1	0	0	0	0	
